"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"Cu(I)-responsive transcriptional regulator" 70 135 96 118 65 130 77 57 114 66 112 119
"molybdate ABC transporter substrate-binding protein" 363 496 378 350 569 766 732 584 872 286 363 562
"3-keto-5-aminohexanoate cleavage protein_1" 239 399 266 319 343 475 514 434 523 300 477 533
"molybdate ABC transporter permease subunit" 464 408 318 328 342 465 506 392 520 220 314 486
"protocatechuate 3%2C4-dioxygenase subunit alpha" 248 315 226 340 253 366 355 314 466 243 345 456
"molybdenum ABC transporter ATP-binding protein" 377 299 238 293 323 468 402 359 435 157 255 301
"protocatechuate 3%2C4-dioxygenase subunit beta" 137 252 191 268 176 270 235 218 268 186 308 354
"4-carboxymuconolactone decarboxylase" 80 173 98 95 105 155 147 159 182 104 167 204
"FAD-binding oxidoreductase_2" 533 554 391 375 507 826 633 620 930 727 985 1281
"pca operon transcription factor PcaQ" 250 207 136 215 130 201 177 112 192 143 275 251
"branched-chain amino acid ABC transporter permease_2" 33 30 17 16 30 47 37 24 48 18 40 42
"zinc ABC transporter substrate-binding protein_1" 173 242 205 337 150 253 181 137 186 4116 6127 5580
"branched-chain amino acid ABC transporter permease_3" 42 53 25 18 51 91 67 45 90 37 58 67
"transcriptional repressor_2" 160 143 92 126 126 166 179 106 199 485 753 992
"metal ABC transporter ATP-binding protein_1" 187 198 136 199 181 282 250 223 278 653 897 1194
"ABC transporter ATP-binding protein_9" 83 36 19 38 65 96 75 68 86 24 47 52
"metal ABC transporter permease_1" 271 272 193 196 212 298 283 269 383 626 894 1256
"response regulator_4" 2049 3386 2513 2812 1919 2658 3537 3013 4000 1372 1649 2853
"long-chain fatty acid--CoA ligase" 120 95 77 83 124 199 110 147 218 69 111 139
"ABC transporter substrate-binding protein_9" 113 167 155 309 106 197 167 114 156 156 201 155
"PhnD/SsuA/transferrin family substrate-binding protein_1" 369 829 691 1451 346 555 695 472 769 492 603 665
"PEP-utilizing enzyme" 3507 3693 3102 4235 3107 4676 5477 5689 6905 1525 1969 3308
"MBL fold metallo-hydrolase_1" 209 360 282 458 173 337 224 224 275 234 313 337
"tetratricopeptide repeat protein_1" 1038 58652 56090 120012 851 1382 10749 7772 10668 15485 18384 23666
"NADPH:quinone reductase" 1166 1154 810 1226 725 870 857 829 954 637 823 1079
"MurR/RpiR family transcriptional regulator_1" 92 140 89 71 163 233 229 216 299 86 95 144
"LacI family DNA-binding transcriptional regulator_2" 286 357 218 202 301 410 333 329 408 137 223 307
"Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB" 1209 1829 1165 1755 911 1326 982 863 1333 1391 1947 2494
"extracellular solute-binding protein_3" 1677 1236 1343 1938 1667 3049 2283 1902 2049 1367 1697 1818
"arginine deiminase family protein" 106 93 78 153 107 175 101 105 144 111 213 226
"5-guanidino-2-oxopentanoate decarboxylase" 217 213 163 241 151 208 206 169 219 159 280 316
"ABC transporter permease subunit_1" 643 395 376 572 543 925 920 584 818 384 496 594
"ABC transporter permease subunit_2" 566 375 326 283 560 926 923 640 804 410 515 633
"pyridoxal phosphate-dependent aminotransferase_1" 126 136 80 136 60 122 107 80 110 116 177 206
"sn-glycerol-3-phosphate import ATP-binding protein UgpC" 1164 673 513 686 968 1478 1255 1076 1424 594 800 1108
"TetR family transcriptional regulator C-terminal domain-containing protein_2" 11 13 16 10 9 23 6 4 13 19 17 23
"endonuclease" 958 377 257 434 658 1050 721 653 978 346 370 616
"ATP-binding cassette domain-containing protein_9" 279 407 325 447 222 417 305 254 333 173 312 391
"trifunctional transcriptional activator/DNA repair protein Ada/methylated-DNA--[protein]-cysteine S-methyltransferase" 140 169 103 147 138 163 126 152 171 98 117 171
"transporter substrate-binding domain-containing protein_4" 595 851 684 833 865 1238 1250 1193 1322 635 1005 1354
"2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase" 1769 1456 1028 1403 1297 2001 1753 1532 2028 1192 1368 2201
"ABC transporter permease_11" 524 672 549 739 541 738 559 610 810 405 650 715
"peptidoglycan DD-metalloendopeptidase family protein_1" 631 424 330 381 433 789 508 509 701 290 395 573
"hypothetical protein_110" 312 1357 1009 845 441 638 538 529 700 763 1285 1347
"S41 family peptidase" 8408 6066 4177 6276 5558 7530 6158 5833 8290 5164 7583 9177
"helix-turn-helix domain-containing protein_12" 63 166 98 107 96 164 103 109 167 148 223 281
"4-hydroxybenzoate 3-monooxygenase" 378 535 346 433 353 455 457 363 517 562 819 1132
"NAD(P)H-binding protein_2" 30 41 26 14 26 40 21 33 47 112 223 243
"ABC transporter ATP-binding protein_10" 724 1479 1217 1581 851 1240 1429 1332 1732 994 1435 2089
"ABC transporter permease_12" 361 802 591 468 404 691 776 600 908 592 930 1085
"S49 family peptidase" 1759 1848 1536 2598 1097 1788 1383 938 1559 1461 2305 2787
"calcium/sodium antiporter" 1586 854 575 990 878 1228 898 699 1268 982 1454 1796
"SDR family oxidoreductase_2" 436 824 571 547 464 750 482 464 703 344 421 808
"excinuclease ABC subunit UvrC" 1653 1976 1413 1519 1553 2267 1863 1785 2664 1026 1546 1991
"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase" 1011 526 460 766 621 1060 806 663 896 424 600 870
"molybdopterin converting factor subunit 1" 176 61 30 32 89 103 82 102 81 52 69 97
"molybdenum cofactor biosynthesis protein MoaE" 377 355 176 211 379 567 413 386 546 196 297 463
"hypothetical protein_111" 839 709 502 616 789 1084 724 888 1233 419 580 920
"OmpA family protein_1" 2670 2153 1578 2117 2565 3789 2826 2702 3883 1259 1648 2564
"4-hydroxybenzoate octaprenyltransferase" 663 522 385 488 607 751 687 665 829 376 539 693
"16S rRNA (uracil(1498)-N(3))-methyltransferase" 583 825 599 848 581 875 698 550 812 615 1054 1168
"GNAT family N-acetyltransferase_4" 625 597 453 678 587 915 596 578 773 489 803 939
"hypothetical protein_112" 340 324 247 408 322 472 276 288 416 249 420 483
"glutamate--cysteine ligase" 7009 7898 5816 8924 5727 8095 6649 6396 7954 5223 6479 9741
"hypothetical protein_113" 2311 813 639 502 1222 2017 1454 1009 2048 549 642 1049
"hypothetical protein_114" 302 1585 1260 1654 239 305 292 366 543 2536 4784 5243
"glycerol-3-phosphate 1-O-acyltransferase PlsY" 867 536 444 622 562 934 670 598 946 373 453 641
"dihydroorotase_1" 1980 1049 775 1119 1484 2405 1808 1606 2376 847 893 1565
"hypothetical protein_115" 268 231 133 155 273 326 403 240 434 151 141 279
"hypothetical protein_116" 456 328 218 201 437 675 603 430 711 249 293 423
"aspartate carbamoyltransferase catalytic subunit" 1737 1184 891 1350 1363 2126 1554 1498 2265 912 1064 1777
"uracil-DNA glycosylase_1" 745 881 621 800 705 1027 886 699 994 539 727 989
"molybdenum cofactor biosynthesis protein B" 609 507 398 705 443 787 618 483 633 379 510 727
"HlyD family efflux transporter periplasmic adaptor subunit" 732 1306 931 1887 394 557 487 391 490 938 1776 1855
"efflux RND transporter permease subunit_2" 840 1562 1173 2204 519 810 677 492 732 1298 2170 2220
"NUDIX hydrolase_1" 203 222 145 158 202 282 261 205 248 139 150 279
"hypothetical protein_117" 498 838 693 900 681 949 565 596 851 591 785 1244
"YqgE/AlgH family protein" 301 660 429 624 420 551 489 391 558 494 770 828
"threonylcarbamoyl-AMP synthase" 519 383 305 519 389 647 485 416 585 236 314 515
"acyl-CoA dehydrogenase_2" 359 299 222 408 280 486 376 318 446 362 484 571
"MBL fold metallo-hydrolase_2" 185 101 79 126 82 158 139 101 161 91 150 186
"DUF6173 family protein" 531 948 634 464 412 593 561 428 566 649 1045 1180
"hypothetical protein_118" 207 116 65 52 114 172 123 94 129 84 125 201
"aa3-type cytochrome c oxidase subunit IV" 343 1278 906 506 691 1172 617 841 1145 748 834 1321
"hypothetical protein_119" 1679 2074 1787 2605 1648 2540 1676 1830 2416 1588 1849 3133
"AzlD domain-containing protein_2" 116 204 132 106 155 285 168 154 252 114 170 231
"AzlC family ABC transporter permease_2" 490 464 350 491 492 718 561 444 715 261 353 582
"formate dehydrogenase accessory sulfurtransferase FdhD" 254 353 238 424 216 299 274 231 276 226 339 396
"molybdenum cofactor guanylyltransferase MobA" 528 517 370 682 383 558 462 407 499 347 378 582
"molybdopterin-guanine dinucleotide biosynthesis protein B" 408 279 211 274 246 327 288 239 310 169 198 320
"molybdopterin guanine dinucleotide synthesis" 331 285 161 264 264 370 350 256 365 143 201 247
"molybdopterin-binding protein_1" 582 478 350 398 422 578 539 450 585 300 386 534
"hypothetical protein_120" 1555 1427 1097 1500 1388 2021 1739 1411 1888 821 1113 1678
"transcription elongation factor GreA" 1301 1578 1170 1412 1566 2364 1843 1713 2246 1035 1227 2159
"VOC family protein_2" 33 571 401 424 64 67 56 46 70 100 192 200
"redox-sensitive transcriptional activator SoxR" 163 1324 910 893 145 163 200 208 266 282 422 531
"electron transfer flavoprotein-ubiquinone oxidoreductase" 3249 5670 3998 5473 3191 4607 3500 3369 4708 3309 4677 6297
"tetratricopeptide repeat protein_2" 975 853 648 1081 858 1247 1128 873 1176 691 1085 1202
"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase" 271 96 51 112 226 301 241 271 289 81 156 191
"polyprenyl synthetase family protein_1" 980 624 617 1169 942 1607 1151 1111 1317 784 790 1299
"DUF2007 domain-containing protein" 77 163 92 34 134 190 184 121 251 93 117 164
"methyltransferase_1" 296 179 93 130 170 280 237 152 276 87 119 131
"DUF465 domain-containing protein" 1068 7413 5271 2357 4514 5659 4567 5264 5650 3363 5544 7952
"EamA family transporter_1" 240 179 130 129 183 285 186 222 315 71 126 170
"transcriptional regulator GcvA" 155 214 147 204 225 314 286 241 336 121 170 224
"acetoacetyl-CoA reductase" 3446 13729 10972 18834 4112 5607 7382 7789 9225 4207 5542 8506
"acetyl-CoA C-acetyltransferase_1" 10401 16931 14138 18451 12620 17966 15317 15155 18364 11606 14896 21206
"EAL domain-containing protein_2" 1133 1952 1296 1440 1250 1680 2481 1939 2512 676 861 1410
"sterol desaturase family protein_1" 68 236 157 221 104 126 97 109 119 221 378 408
"hypothetical protein_121" 43 97 94 115 51 70 51 53 68 91 146 172
"TlpA family protein disulfide reductase" 772 1015 730 1047 821 1078 799 781 1061 1303 1986 2474
"argininosuccinate lyase" 2362 1734 1252 2393 1651 2611 2065 1774 2656 1466 1961 2723
"hypothetical protein_122" 162 299 256 264 125 199 160 121 231 117 194 260
"diaminopimelate decarboxylase" 1455 1322 920 1192 1063 1668 1439 1230 1734 814 950 1527
"DUF4175 domain-containing protein" 1862 2082 1477 2790 1201 1740 1418 1214 1647 982 1546 2117
"zinc-ribbon domain-containing protein" 417 823 620 997 440 642 528 442 672 428 576 847
"ATP-binding cassette domain-containing protein_10" 171 194 114 158 139 271 193 157 214 107 165 250
"cell division protein FtsX" 761 550 416 698 515 870 630 564 748 365 482 660
"1-acyl-sn-glycerol-3-phosphate acyltransferase_2" 471 416 399 296 555 811 697 570 805 371 494 700
"pyridoxamine 5'-phosphate oxidase family protein_1" 244 192 133 150 240 314 264 277 343 137 181 278
"EthD family reductase" 304 234 147 194 270 375 345 302 403 173 241 394
"dihydrolipoyl dehydrogenase_2" 6660 7285 5015 5843 6123 8412 7518 7678 10324 4362 5789 8642
"MAPEG family protein" 505 601 537 673 460 698 693 656 873 287 390 625
"hypothetical protein_123" 604 920 769 555 666 1020 999 981 1259 402 542 780
"hypothetical protein_124" 863 1336 1336 886 872 1447 1204 1061 1474 786 974 1259
"2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase" 7976 10188 9936 18295 5384 8059 6741 6340 7995 5171 6756 8760
"2-oxoglutarate dehydrogenase E1 component" 9093 19006 16443 20688 9217 13744 12560 10684 13857 8732 11563 16657
"succinate--CoA ligase subunit alpha" 7903 20039 18103 29539 7270 11477 10061 8329 11274 8075 10421 14284
"hypothetical protein_125" 1958 3792 3401 4303 1524 2376 1972 1752 2439 1586 2498 2668
"ADP-forming succinate--CoA ligase subunit beta" 8914 23650 20037 37065 7960 11419 8919 9451 12648 8701 12721 15147
"malate dehydrogenase" 23791 14047 9821 15818 16722 24491 21015 18948 27950 11489 14779 23866
"sulfite exporter TauE/SafE family protein_1" 183 690 502 593 218 305 301 236 320 142 234 326
"hypothetical protein_126" 185 3491 2828 3891 341 435 446 483 588 342 360 794
"CoA ester lyase" 65 51 35 56 44 99 105 48 102 35 73 76
"NnrU family protein_1" 583 419 331 466 493 826 609 437 654 361 481 719
"DUF1737 domain-containing protein" 497 281 190 301 353 574 377 342 468 248 353 493
"MaoC family dehydratase_1" 916 636 392 635 617 971 819 636 958 397 572 834
"phosphoglycerate mutase family protein" 62 59 27 34 72 84 62 80 91 37 35 71
"DUF1194 domain-containing protein" 76 176 139 97 76 115 107 90 122 95 115 166
"succinate dehydrogenase%2C cytochrome b556 subunit" 2198 2848 1757 1983 2240 3211 1999 2010 3138 1916 2665 4011
"succinate dehydrogenase%2C hydrophobic membrane anchor protein" 1046 1604 1116 1294 1311 2055 1757 1153 1771 1335 1707 2452
"succinate dehydrogenase flavoprotein subunit" 9016 7610 5603 8361 6768 10961 6698 6110 9060 6506 8786 12035
"hypothetical protein_127" 2286 1523 939 1334 1590 2532 1689 1383 2143 1010 1563 1911
"succinate dehydrogenase iron-sulfur subunit" 4379 2885 1665 1288 3699 5801 3693 3037 4594 3145 4160 6163
"hypothetical protein_128" 138 11559 6392 6192 223 261 218 243 295 1152 1478 2276
"type III PLP-dependent enzyme_1" 3744 6346 4700 5287 3203 4441 3584 3033 5001 2666 3023 5816
"DUF1989 domain-containing protein" 702 976 722 829 730 980 816 734 955 468 572 1025
"purine-nucleoside phosphorylase" 2662 160 103 70 3172 4673 102 93 119 1102 1457 2338
"H-NS histone family protein" 2750 1395 1050 991 3115 3906 3028 2141 2924 1262 1466 2439
"protein meaA" 369 614 445 495 425 596 674 631 851 326 386 583
"1-acyl-sn-glycerol-3-phosphate acyltransferase_3" 122 172 155 111 139 256 275 184 237 95 104 181
"crotonyl-CoA carboxylase/reductase" 883 1030 664 757 881 1250 1206 1226 1494 530 728 1080
"LuxR family transcriptional regulator_2" 1246 1236 730 587 1492 2024 1515 1457 2373 706 947 1329
"autoinducer synthase_1" 215 1122 903 763 267 363 392 326 424 396 538 804
"ATP-dependent helicase" 725 828 513 593 739 1002 902 868 1162 528 685 1014
"SDR family oxidoreductase_3" 362 417 247 161 466 596 552 448 653 284 424 565
"TIGR02186 family protein" 1253 1440 1159 1204 1163 1699 1437 1285 1729 748 917 1486
"sulfite exporter TauE/SafE family protein_2" 1210 1445 1170 885 1192 1618 1669 1237 1762 754 991 1572
"ABC transporter permease_13" 3807 2236 1999 2729 3157 4890 3705 3344 4583 2500 2744 4574
"ABC transporter ATP-binding protein_11" 2339 1792 1464 2160 2160 3237 2730 2513 3033 1807 2197 3413
"BMP family ABC transporter substrate-binding protein_1" 24629 21258 17214 20996 19443 29051 19037 21380 26421 12256 15477 24203
"GNAT family N-acetyltransferase_5" 163 143 119 144 172 298 343 259 386 85 122 214
"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB" 488 544 426 680 361 576 618 537 770 272 358 547
"NifU family protein" 2810 7178 4706 6856 2450 3437 4071 3396 5399 3224 4398 5940
"universal stress protein_1" 1144 1197 869 1651 811 1187 1139 1013 1283 659 1031 1253
"branched-chain amino acid aminotransferase_1" 1896 3051 2305 2472 2166 3229 2563 2674 3393 1747 2234 3561
"phenylacetate-CoA oxygenase subunit PaaI" 1025 2029 1623 1993 827 1309 2268 2023 3187 1466 1934 2582
"2Fe-2S iron-sulfur cluster-binding protein_1" 1161 3050 2446 4309 1248 1964 3523 3899 5897 2437 3216 4689
"phenylacetate-CoA oxygenase subunit PaaJ" 973 2107 1862 4014 902 1294 3099 2938 3979 1480 1947 2828
"phenylacetate-CoA oxygenase subunit PaaC" 2621 5025 4074 8201 1615 2556 6358 6075 8546 3531 4559 6201
"1%2C2-phenylacetyl-CoA epoxidase subunit B" 424 1635 1241 1677 585 874 2001 2240 3031 1277 1917 2549
"1%2C2-phenylacetyl-CoA epoxidase subunit A" 2870 7566 6376 10131 2343 3422 9316 8850 11900 5236 7369 9532
"3-oxoadipyl-CoA thiolase" 2963 10093 8073 12428 3303 4493 13624 14283 17830 5393 7131 10748
"sulfatase-like hydrolase/transferase_2" 462 908 726 850 429 609 1005 872 1215 516 765 932
"3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein_1" 1096 423 380 712 806 1345 884 686 1000 375 613 655
"acetyl-CoA C-acyltransferase_1" 185 101 64 131 133 229 171 110 144 89 125 125
"acyl-CoA dehydrogenase family protein_1" 737 261 258 316 541 893 533 461 694 288 465 494
"acyl-CoA/acyl-ACP dehydrogenase_2" 671 197 118 206 502 632 428 428 596 211 301 329
"PaaI family thioesterase_1" 191 55 38 50 150 234 149 92 204 53 80 64
"acyl--CoA ligase_1" 809 337 221 227 724 985 611 573 810 265 389 454
"ribulose-phosphate 3-epimerase" 1457 1409 1022 1400 1012 1499 1091 977 1512 1160 1387 2411
"phosphonate ABC transporter ATP-binding protein" 16 14 17 36 17 30 10 13 17 12 23 21
"phosphonate ABC transporter substrate-binding protein" 25 52 38 76 25 54 32 39 44 29 42 57
"phosphonate ABC transporter%2C permease protein PhnE" 97 97 60 94 96 153 95 84 144 42 49 106
"chloramphenicol acetyltransferase" 30 43 27 17 20 32 40 39 45 31 37 61
"phosphonate metabolism transcriptional regulator PhnF" 55 478 356 664 59 87 86 68 112 337 556 583
"phosphonate C-P lyase system protein PhnG" 17 171 117 212 26 33 38 31 55 119 244 226
"phosphonate C-P lyase system protein PhnH" 39 203 169 349 47 78 85 66 84 148 277 267
"carbon-phosphorus lyase complex subunit PhnI" 52 259 266 503 51 88 81 66 101 224 544 449
"alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ" 52 272 266 588 66 86 87 76 90 228 425 339
"phosphonate C-P lyase system protein PhnK" 24 114 110 236 40 35 51 37 63 110 222 216
"phosphonate C-P lyase system protein PhnL" 71 100 74 191 17 44 35 45 42 86 184 128
"phosphonate metabolism protein/1%2C5-bisphosphokinase (PRPP-forming) PhnN" 24 82 66 133 30 55 43 47 55 63 98 113
"DUF1045 domain-containing protein" 247 363 246 310 220 365 277 245 391 237 332 453
"alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase_1" 188 255 169 222 151 252 265 208 290 166 208 273
"class I SAM-dependent methyltransferase_1" 448 304 207 201 499 551 548 480 730 213 276 365
"polysaccharide deacetylase family protein" 1006 503 356 524 583 961 669 693 941 338 407 522
"glycosyltransferase_7" 356 205 144 179 362 540 331 320 542 113 135 238
"histidine phosphatase family protein_1" 370 205 108 209 287 486 343 346 489 128 155 210
"glycosyltransferase family 4 protein_3" 343 219 169 129 377 524 435 415 555 82 166 239
"glycosyltransferase family 4 protein_4" 1280 1064 758 982 1142 1789 1356 1155 1801 545 658 1096
"hypothetical protein_129" 1207 1435 915 1264 1446 2176 1991 1575 2246 595 801 1376
"mechanosensitive ion channel_1" 1829 2812 2010 2501 1510 2221 1979 1616 2197 1350 1647 2575
"CoA transferase_1" 320 313 178 226 405 567 361 387 552 172 257 364
"ABC transporter permease_14" 1074 1229 888 663 1509 2079 1924 1842 2484 725 975 1618
"ABC transporter substrate-binding protein_10" 1392 1298 1032 855 1765 2285 1954 2122 2561 914 1242 1860
"ABC transporter ATP-binding protein_12" 1249 1056 763 1022 1260 1702 1566 1462 1830 535 762 1065
"class I SAM-dependent methyltransferase_2" 537 451 302 401 409 585 455 431 600 280 395 653
"glutathione S-transferase_1" 341 310 210 318 241 375 274 274 367 203 370 355
"TetR/AcrR family transcriptional regulator_4" 340 582 357 295 491 632 548 395 602 315 404 635
"indolepyruvate ferredoxin oxidoreductase family protein_1" 8357 9993 7741 10124 7557 10634 5808 5521 7593 6322 9534 14321
"Lrp/AsnC family transcriptional regulator_3" 19 25 26 47 29 34 32 32 38 40 75 84
"DUF3307 domain-containing protein" 154 266 168 51 178 291 241 228 268 170 271 409
"cyclic nucleotide-binding domain-containing protein_2" 1756 1144 890 1102 1253 1868 1631 1330 1824 718 1004 1424
"fumarylacetoacetate hydrolase family protein_2" 319 219 181 280 383 617 492 466 552 221 308 419
"mandelate racemase/muconate lactonizing enzyme family protein_2" 353 576 478 621 495 815 597 575 693 461 558 828
"Zn-dependent alcohol dehydrogenase" 222 243 218 218 226 347 312 250 333 237 312 404
"adenylosuccinate lyase family protein" 683 485 375 506 545 723 674 576 783 341 412 704
"3-oxoadipate enol-lactonase" 526 361 232 298 400 715 424 453 728 305 390 578
"endonuclease/exonuclease/phosphatase family protein_1" 468 760 593 516 725 906 742 822 971 522 734 1060
"threonine/serine dehydratase_1" 434 503 311 498 442 562 459 459 521 268 353 580
"alpha/beta hydrolase_3" 230 344 255 266 339 466 345 349 438 205 257 363
"haloacid dehalogenase type II" 264 614 501 546 437 589 487 424 485 407 608 794
"peptidylprolyl isomerase_1" 2304 1750 1301 1665 2178 3429 1989 2414 3484 1408 1833 2826
"nitronate monooxygenase" 358 428 354 473 351 549 495 408 508 355 394 488
"enoyl-ACP reductase" 3056 2285 1701 2176 3007 4784 3270 3274 5308 1751 2225 3838
"beta-ketoacyl-ACP synthase I" 5136 3166 2395 2957 4351 6858 5544 4487 6698 2759 3475 5477
"bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase" 2003 1705 1256 1702 2038 3185 2355 2201 3289 1290 1704 2690
"transcriptional repressor_3" 536 1415 1016 879 1137 1584 1160 1084 1647 952 1206 1840
"LysR family transcriptional regulator_5" 175 167 113 112 145 237 159 155 187 107 153 207
"phytanoyl-CoA dioxygenase family protein_1" 149 273 166 146 177 226 199 197 256 158 287 352
"glycosyltransferase family 2 protein_5" 134 258 164 145 202 260 283 198 303 170 236 297
"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB" 1512 879 636 922 996 1563 1019 1001 1451 836 1120 1641
"OmpA family protein_2" 948 1553 1087 1492 991 1359 1275 1091 1471 688 998 1575
"hypothetical protein_130" 560 492 279 268 306 332 393 332 471 180 319 524
"PhoH family protein" 3016 3907 2727 3097 2710 3820 3962 3345 4177 2092 2926 3923
"rRNA maturation RNase YbeY" 621 459 320 256 615 988 933 777 1086 300 511 635
"hemolysin family protein" 3897 5287 3570 4671 3103 4462 3713 3261 4955 2809 3982 5331
"apolipoprotein N-acyltransferase_2" 1897 1174 811 1092 1267 1746 1628 1310 1974 829 1196 1386
"methionine adenosyltransferase" 2855 2770 2020 2198 3744 5219 4505 4133 6093 3115 4048 5413
"ATP-dependent Clp protease proteolytic subunit_2" 165 291 217 289 128 198 157 149 148 160 225 216
"tRNA (guanine(46)-N(7))-methyltransferase TrmB" 808 694 434 559 761 1138 838 766 1215 488 596 1045
"3-phosphoshikimate 1-carboxyvinyltransferase" 3242 2139 1460 2307 2006 2978 2327 2172 3063 1363 1780 2643
"(d)CMP kinase" 787 503 342 528 638 1037 883 682 987 313 411 635
"30S ribosomal protein S1" 68965 32504 27115 35806 48621 81807 52909 55789 85834 40665 48058 73119
"integration host factor subunit beta" 2417 2768 1533 2066 1565 2261 1760 1717 2400 1208 1619 2425
"LapA family protein" 1318 1594 1178 992 1132 1704 1582 1302 1755 849 1255 1624
"phosphoribosylanthranilate isomerase" 1262 792 490 798 918 1361 1178 918 1525 506 685 968
"tryptophan synthase subunit beta" 4837 4380 2938 3375 4104 5867 4545 4614 6648 2895 3736 5225
"DUF2237 domain-containing protein" 136 257 155 122 198 271 193 196 324 146 184 281
"beta-lactamase family protein_1" 345 327 230 218 372 687 489 424 723 220 312 491
"aminoacyl-tRNA hydrolase_2" 1189 1247 879 763 1183 1936 1447 1365 2130 751 934 1657
"50S ribosomal protein L25/general stress protein Ctc" 29949 10766 7499 12965 16830 27240 23085 18555 29458 12188 14133 25595
"alpha-hydroxy-acid oxidizing protein_1" 878 367 294 415 785 1251 1324 1286 1860 875 1521 1489
"tryptophan synthase subunit alpha" 3339 3298 2307 2669 3052 4594 3357 3379 4780 1923 2410 4156
"acyloxyacyl hydrolase" 1633 1870 1278 1439 1276 1943 1353 1406 1973 737 951 1510
"redox-regulated ATPase YchF" 4037 2228 1363 2634 2480 3995 2837 2487 4231 2415 2975 4338
"nucleoside hydrolase_1" 3504 2433 1847 2770 3396 5388 4159 4173 5973 1812 2723 3479
"tyrosine-type recombinase/integrase_2" 559 1103 908 1349 561 826 841 614 815 854 1382 1585
"hypothetical protein_131" 262 630 451 729 291 412 388 340 476 515 744 778
"MerR family transcriptional regulator_1" 77 128 96 89 85 136 96 97 151 91 137 180
"hypothetical protein_132" 10 26 17 17 28 32 33 21 32 23 36 50
"helix-turn-helix domain-containing protein_13" 14 14 9 26 15 16 15 8 12 15 22 28
"SDR family NAD(P)-dependent oxidoreductase_1" 155 196 163 140 201 273 217 238 292 123 204 241
"DegT/DnrJ/EryC1/StrS family aminotransferase_2" 702 617 394 537 672 1016 716 657 835 457 536 896
"FdtA/QdtA family cupin domain-containing protein" 54 93 69 58 123 171 81 122 132 66 98 136
"glycosyltransferase_8" 644 703 527 435 655 929 824 777 1003 446 570 851
"GntR family transcriptional regulator_3" 613 632 411 437 771 1141 764 814 1205 390 516 844
"dihydrodipicolinate synthase family protein" 47 261 169 223 49 66 44 51 76 1168 2293 1766
"proline racemase family protein_2" 34 63 42 95 21 27 28 23 39 387 665 557
"aldehyde dehydrogenase family protein_6" 56 89 73 101 39 92 70 52 69 411 792 686
"FAD-dependent oxidoreductase_2" 359 527 402 654 439 548 458 390 563 437 709 763
"methyl-accepting chemotaxis protein_4" 768 899 925 1345 872 1239 1726 1217 1704 713 791 1141
"M56 family metallopeptidase" 680 1017 754 926 703 946 775 768 998 561 839 1097
"BlaI/MecI/CopY family transcriptional regulator" 395 1072 828 736 652 898 803 775 962 636 684 1077
"DUF2160 domain-containing protein" 9 15 11 11 7 16 18 7 16 10 16 14
"carbohydrate ABC transporter permease_3" 41 32 26 42 26 50 46 43 52 37 40 58
"sugar ABC transporter permease_4" 56 38 33 36 41 49 49 55 45 32 53 50
"ABC transporter ATP-binding protein_13" 69 40 35 60 33 65 49 43 80 42 78 96
"ABC transporter ATP-binding protein_14" 46 40 20 29 31 55 34 52 68 29 54 75
"ABC transporter substrate-binding protein_11" 295 99 110 133 247 392 242 281 335 158 261 311
"RNA methyltransferase_1" 877 671 577 636 744 1166 973 813 1149 487 590 1042
"2-dehydro-3-deoxygalactonokinase_1" 424 537 390 477 403 637 508 432 674 314 398 566
"sugar transferase_3" 311 325 354 718 239 481 346 283 398 265 327 397
"CpsD/CapB family tyrosine-protein kinase" 819 2027 1552 2046 1162 1661 1483 1321 1822 784 1029 1613
"DUF874 domain-containing protein" 801 1187 860 1003 841 1243 1032 997 1415 515 660 1018
"oligosaccharide flippase family protein_2" 476 744 602 659 428 650 552 523 650 241 297 473
"glycosyltransferase_9" 298 354 265 379 322 588 483 472 492 249 325 425
"glycosyltransferase_10" 184 53 63 69 172 231 201 156 224 54 92 85
"hypothetical protein_133" 1228 757 600 546 1123 1697 1381 1249 1572 490 660 985
"4'-phosphopantetheinyl transferase superfamily protein_1" 275 177 114 136 267 336 317 290 340 127 167 235
"LLM class flavin-dependent oxidoreductase_1" 2098 1762 1335 1669 1992 2822 2324 2106 2704 1279 1591 2487
"glycosyltransferase_11" 318 340 292 257 335 484 333 335 445 195 274 452
"SDR family NAD(P)-dependent oxidoreductase_2" 2496 2885 2172 2664 2492 3516 3064 2654 3430 1659 2268 3359
